gender,birthdate,ypc,current_premium,age
M,10/5/1947,0,863.97,75.17
F,7/6/1953,0,828.63,69.42
M,4/18/1956,0,1000.59,66.63
F,8/16/1956,0,700.42,66.30
F,1/23/1957,0,505.92,65.87
F,12/31/1960,0,1674.34,61.93
M,2/26/1963,0,1266.17,59.77
F,7/31/1963,0,733.96,59.35
M,12/5/1964,0,1671.38,58.00
F,7/4/1966,0,655.97,56.42
F,12/30/1968,0,804.14,53.93
F,3/14/1973,0,1819.68,49.73
F,10/9/1975,0,756.6,47.16
F,12/31/1977,0,567.54,44.93
F,8/28/1978,0,688.33,44.27
M,5/14/1979,0,1658.5,43.56
M,8/4/1979,0,918.5,43.34
M,4/30/1980,0,421.66,42.60
F,2/9/1981,0,1358.08,41.82
M,7/2/1981,0,969.79,41.43
F,7/27/1983,0,1481.24,39.36
M,10/3/1984,0,2105.59,38.17
F,4/7/1985,0,2047.48,37.66
F,11/1/1987,0,1216.75,35.09
M,1/15/1988,0,2243.2,34.89
M,7/30/1959,1,774.01,63.35
M,11/10/1959,1,961.67,63.07
M,4/11/1961,1,827.87,61.65
F,6/22/1963,1,2593.8,59.46
M,11/17/1964,1,1063.81,58.05
M,2/26/1965,1,1078.58,57.77
F,2/18/1966,1,3305.26,56.79
F,4/9/1966,1,2691.97,56.66
M,11/18/1966,1,1161.54,56.05
M,2/29/1968,1,1373.74,54.76
F,4/19/1968,1,627.08,54.63
F,7/8/1969,1,1620.27,53.41
M,8/4/1969,1,1429.48,53.34
M,1/3/1970,1,1340.4,52.92
M,9/12/1970,1,463.49,52.23
F,10/20/1972,1,1033.78,50.12
M,11/15/1974,1,5642.17,48.06
M,9/26/1977,1,1114.15,45.19
F,3/24/1979,1,2219.99,43.70
M,9/3/1980,1,735.37,42.25
M,1/13/1981,1,472.56,41.89
M,1/29/1981,1,1527.99,41.85
M,2/2/1981,1,1219.22,41.84
M,11/2/1982,1,410.06,40.09
M,2/23/1983,1,623.8,39.78
M,12/21/1983,1,1378.58,38.96
M,9/9/1984,1,625.46,38.24
F,9/15/1985,1,925.42,37.22
F,12/25/1985,1,433.52,36.95
M,7/26/1987,1,1202.43,35.36
F,3/4/1988,1,2897.88,34.75
F,4/3/1988,1,543.08,34.67
M,6/13/1988,1,1503.13,34.48
M,12/15/1988,1,987.75,33.97
M,5/10/1989,1,1538.16,33.57
F,7/9/1991,1,607.39,31.41
M,11/7/1991,1,896.86,31.08
F,10/24/1937,2,576.08,85.12
M,5/18/1961,2,1399.58,61.55
M,5/28/1961,2,1239.12,61.52
F,1/27/1962,2,1198.29,60.85
M,7/30/1963,2,1128.59,59.35
M,7/3/1964,2,1296.36,58.42
F,11/4/1967,2,801.16,55.09
M,2/29/1968,2,761.24,54.76
M,4/1/1968,2,1272.34,54.68
M,10/31/1969,2,2095.32,53.10
M,2/12/1970,2,1032.29,52.81
M,4/5/1970,2,2011.42,52.67
M,5/15/1973,2,2484.38,49.56
M,4/28/1980,2,2069.55,42.60
M,12/10/1981,2,777.62,40.99
M,4/28/1984,2,458.03,38.60
F,2/27/1985,2,384.16,37.77
M,8/7/1986,2,970.82,36.33
M,9/6/1986,2,439.64,36.25
M,5/11/1988,2,2145.93,34.57
M,9/2/1989,2,832.58,33.26
F,3/12/1954,3,826.27,68.73
M,3/21/1954,3,2582.06,68.71
M,5/4/1955,3,2538.01,67.59
M,12/11/1956,3,1056.05,65.98
F,7/31/1959,3,1235.08,63.35
M,2/28/1960,3,534.13,62.77
M,2/12/1961,3,437.21,61.81
F,6/3/1963,3,842.08,59.51
M,7/22/1963,3,1751.82,59.37
M,12/4/1966,3,541.55,56.00
F,5/15/1968,3,2668.01,54.56
M,8/12/1969,3,2169.3,53.32
M,12/2/1969,3,1546.43,53.01
F,2/25/1970,3,2849.66,52.78
M,7/22/1976,3,929.02,46.37
F,12/6/1977,3,1948.25,45.00
F,2/1/1978,3,583.85,44.84
F,7/24/1978,3,1246.01,44.37
M,11/22/1979,3,1814.96,43.04
M,2/23/1980,3,1037.21,42.78
M,12/1/1980,3,1029.53,42.01
M,2/2/1981,3,932.05,41.84
M,9/19/1982,3,1311.89,40.21
F,1/1/1984,3,1037.45,38.93
M,2/8/1986,3,841.86,36.82
F,3/21/1987,3,1913.67,35.71
M,4/16/1988,3,651.69,34.64
F,4/4/1928,4,804.04,94.67
M,9/28/1946,4,594.53,76.19
M,11/14/1960,4,1771.63,62.06
M,7/23/1962,4,1294.07,60.37
F,6/9/1965,4,608.11,57.49
M,12/4/1965,4,685.96,57.00
M,2/10/1966,4,1151.65,56.82
F,8/1/1966,4,789.62,56.35
M,11/12/1966,4,665.69,56.06
M,8/2/1967,4,1103.26,55.34
M,8/22/1969,4,1234.7,53.29
F,11/4/1969,4,2195.4,53.09
M,8/28/1970,4,667.32,52.27
M,2/22/1976,4,1127.89,46.78
M,2/14/1978,4,1638.52,44.81
F,1/26/1979,4,725.66,43.86
F,1/4/1980,4,545.73,42.92
M,6/8/1980,4,643.07,42.49
M,12/31/1980,4,672.12,41.93
M,7/26/1983,4,1590.62,39.36
F,1/19/1925,5,395.37,97.88
F,2/13/1927,5,1106.08,95.81
M,3/30/1929,5,806.02,93.69
M,1/31/1934,5,552.6,88.84
M,2/12/1936,5,830.77,86.81
M,3/19/1936,5,871.76,86.71
M,5/27/1937,5,1470.69,85.53
M,5/30/1939,5,1185.19,83.52
M,12/8/1941,5,411.39,80.99
F,4/2/1942,5,482.92,80.68
F,1/30/1943,5,1761.01,79.85
M,4/17/1943,5,1030.86,79.64
F,6/9/1943,5,1292.74,79.49
M,11/21/1944,5,1366.66,78.04
M,3/12/1945,5,635.19,77.73
F,3/20/1945,5,1179.56,77.71
M,9/2/1945,5,682.3,77.26
F,10/7/1945,5,844.41,77.16
M,8/12/1946,5,783.55,76.32
F,11/12/1946,5,954.11,76.06
M,4/1/1947,5,1122.95,75.68
M,6/8/1947,5,397.67,75.49
M,6/23/1947,5,863.08,75.45
F,1/21/1948,5,979.38,74.87
M,3/3/1948,5,779.45,74.76
F,6/5/1948,5,367.34,74.50
F,12/12/1948,5,925.61,73.98
F,1/28/1949,5,757.87,73.85
F,3/16/1949,5,2133.72,73.72
F,7/23/1949,5,1487.58,73.37
F,3/20/1950,5,659.79,72.71
F,4/9/1950,5,668.19,72.66
M,7/19/1950,5,538.1,72.38
M,6/15/1951,5,969.71,71.47
F,9/11/1951,5,937.34,71.23
F,3/9/1952,5,968.5,70.74
F,11/6/1952,5,699.25,70.08
M,2/24/1953,5,789.15,69.78
M,9/3/1953,5,970.26,69.26
M,1/15/1954,5,333.31,68.89
M,1/28/1954,5,864.63,68.85
F,3/5/1954,5,523.54,68.75
F,5/8/1954,5,2694.92,68.58
F,5/15/1954,5,2130.35,68.56
M,10/28/1954,5,1920.27,68.10
